player_key,player_id,player_image,player_name,player_number,player_country,player_type,player_age,player_match_played,player_goals,player_yellow_cards,player_red_cards,player_injured,player_substitute_out,player_substitutes_on_bench,player_assists,player_is_captain,player_shots_total,player_goals_conceded,player_fouls_committed,player_tackles,player_blocks,player_crosses_total,player_interceptions,player_clearances,player_dispossesed,player_saves,player_inside_box_saves,player_duels_total,player_duels_won,player_dribble_attempts,player_dribble_succ,player_pen_comm,player_pen_won,player_pen_scored,player_pen_missed,player_passes,player_passes_accuracy,player_key_passes,player_woordworks,player_rating,player_birthdate
3622602968,3622602968,https://apiv3.apifootball.com/badges/players/106093_r-odada.jpg,R. Odada,21,Indisponible,Midfielders,22,0,0,0,0,No,0,6,0,0,Indisponible,0,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,0,0,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,2000-11-25
2493387331,2493387331,https://apiv3.apifootball.com/badges/players/94965_l-flach.jpg,L. Flach,31,Indisponible,Midfielders,22,22,1,5,0,No,9,2,1,0,9,0,39,90,9,15,48,21,13,Indisponible,Indisponible,256,140,19,8,Indisponible,Indisponible,0,0,734,563,15,Indisponible,6.80,2001-02-28
2635363677,2635363677,https://apiv3.apifootball.com/badges/players/119229_q-sullivan.jpg,Q. Sullivan,33,Indisponible,Midfielders,19,13,0,2,0,No,4,12,0,0,3,0,7,6,Indisponible,6,2,2,2,Indisponible,Indisponible,33,12,3,2,Indisponible,Indisponible,0,0,79,55,5,Indisponible,6.52,2004-03-27
3645653715,3645653715,Indisponible,C. Olney,Indisponible,Indisponible,Midfielders,16,0,0,0,0,No,0,0,0,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,2006-12-16
2280735839,2280735839,Indisponible,D. Vazquez,Indisponible,Indisponible,Midfielders,17,0,0,0,0,No,0,0,0,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,2006-02-22
2520162626,2520162626,https://apiv3.apifootball.com/badges/players/35585_m-uhre.jpg,M. Uhre,7,Indisponible,Forwards,28,22,7,3,0,No,17,4,3,0,44,0,18,8,2,16,2,22,14,Indisponible,Indisponible,208,95,30,17,Indisponible,Indisponible,0,0,305,185,21,Indisponible,7.12,1994-09-30
2225337992,2225337992,https://apiv3.apifootball.com/badges/players/79745_j-carranza.jpg,J. Carranza,9,Indisponible,Forwards,23,21,10,4,1,No,5,1,2,0,65,0,81,47,2,8,12,22,25,Indisponible,Indisponible,398,180,39,15,Indisponible,Indisponible,2,0,596,438,20,Indisponible,7.03,2000-05-22
4206770337,4206770337,Indisponible,N. Pierre,23,Indisponible,Forwards,18,0,0,0,0,No,0,0,0,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,2005-03-22
2364406459,2364406459,https://apiv3.apifootball.com/badges/players/176229_c-donovan.jpg,C. Donovan,25,Indisponible,Forwards,22,11,1,0,0,No,1,18,1,0,1,0,4,1,Indisponible,Indisponible,Indisponible,2,Indisponible,Indisponible,Indisponible,41,21,5,1,Indisponible,Indisponible,0,0,39,16,1,Indisponible,6.45,2000-08-08
2741100806,2741100806,https://apiv3.apifootball.com/badges/players/69637_t-baribo.jpg,T. Baribo,Indisponible,Indisponible,Forwards,25,0,0,0,0,No,0,0,0,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,1998-01-15
2860042925,2860042925,https://apiv3.apifootball.com/badges/players/119172_a-blanco.jpg,A. Blanco,1,Indisponible,Goalkeepers,35,0,0,0,0,No,0,2,0,0,Indisponible,0,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,0,0,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,1987-07-31
4223831323,4223831323,https://apiv3.apifootball.com/badges/players/19016_r-cota.jpg,R. Cota,30,Indisponible,Goalkeepers,36,3,0,0,0,No,0,0,0,4,Indisponible,6,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,8,Indisponible,21,14,3,2,Indisponible,Indisponible,Indisponible,Indisponible,0,0,187,148,Indisponible,Indisponible,7.05,1987-07-03
3256951729,3256951729,Indisponible,Ó. García,212,Indisponible,Goalkeepers,20,0,0,0,0,No,0,1,0,0,Indisponible,0,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,0,0,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,2003-07-02
387824981,387824981,https://apiv3.apifootball.com/badges/players/106700_i-moreno.jpg,I. Moreno,3,Indisponible,Defenders,25,3,1,0,0,No,2,0,1,0,4,0,4,8,2,17,5,12,4,Indisponible,Indisponible,42,21,10,7,Indisponible,Indisponible,0,0,199,151,5,Indisponible,6.96,1998-01-17
3585292327,3585292327,https://apiv3.apifootball.com/badges/players/3177_w-tesillo.jpg,W. Tesillo,6,Indisponible,Defenders,33,3,0,1,0,No,0,0,0,3,3,0,6,7,2,5,9,9,1,Indisponible,Indisponible,37,19,3,Indisponible,Indisponible,Indisponible,0,0,126,90,Indisponible,Indisponible,7.03,1990-02-02
3960002756,3960002756,https://apiv3.apifootball.com/badges/players/14096_s-barreiro.jpg,S. Barreiro,21,Indisponible,Defenders,29,3,1,2,0,No,1,0,0,0,5,0,7,9,2,6,13,20,2,Indisponible,Indisponible,43,26,4,4,Indisponible,Indisponible,0,0,278,221,3,Indisponible,7.10,1994-06-19
3307191502,3307191502,https://apiv3.apifootball.com/badges/players/95583_a-frias.jpg,A. Frías,22,Indisponible,Defenders,25,3,0,2,0,No,0,0,0,0,4,0,5,9,2,1,13,14,2,Indisponible,Indisponible,43,26,3,3,Indisponible,Indisponible,0,0,351,293,2,Indisponible,6.97,1998-03-17
416242547,416242547,https://apiv3.apifootball.com/badges/players/35275_o-rodriguez.jpg,O. Rodríguez,24,Indisponible,Defenders,26,3,0,0,0,No,0,3,0,0,3,0,7,15,2,4,4,5,3,Indisponible,Indisponible,41,20,5,3,Indisponible,Indisponible,0,0,103,86,1,Indisponible,6.85,1996-09-10
4149992186,4149992186,https://apiv3.apifootball.com/badges/players/54798_p-bellon.jpg,P. Bellón,25,Indisponible,Defenders,26,0,0,0,0,No,0,3,0,0,1,0,3,8,1,Indisponible,2,5,Indisponible,Indisponible,Indisponible,23,12,Indisponible,Indisponible,Indisponible,Indisponible,0,0,211,188,Indisponible,Indisponible,6.90,1997-06-04
811818522,811818522,https://apiv3.apifootball.com/badges/players/44835_d-ramirez.jpg,D. Ramírez,28,Indisponible,Defenders,27,2,0,0,0,No,0,3,0,0,Indisponible,0,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,0,0,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,1995-12-14
2124023132,2124023132,https://apiv3.apifootball.com/badges/players/97836_o-villa.jpg,Ó. Villa,34,Indisponible,Defenders,22,0,0,0,0,No,0,1,0,0,1,0,3,5,Indisponible,3,3,2,1,Indisponible,Indisponible,22,11,6,1,Indisponible,Indisponible,0,0,70,59,1,Indisponible,6.53,2001-02-24
674980971,674980971,Indisponible,P. Budib,207,Indisponible,Defenders,19,0,0,0,0,No,0,1,0,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,2004-04-07
2718450573,2718450573,Indisponible,L. Cervantes,Indisponible,Indisponible,Defenders,22,0,0,0,0,No,0,0,0,0,Indisponible,0,2,3,1,1,2,2,Indisponible,Indisponible,Indisponible,9,3,Indisponible,Indisponible,Indisponible,Indisponible,0,0,57,48,1,Indisponible,6.20,2001-02-09
2305951568,2305951568,https://apiv3.apifootball.com/badges/players/78045_j-rodriguez.jpg,J. Rodríguez,8,Indisponible,Midfielders,27,3,0,0,0,No,1,1,0,0,Indisponible,0,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,0,0,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,1996-06-17
3591145919,3591145919,https://apiv3.apifootball.com/badges/players/12236_o-fernandez.jpg,O. Fernández,16,Indisponible,Midfielders,30,3,0,1,0,No,0,3,0,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,1993-02-11
1851587552,1851587552,https://apiv3.apifootball.com/badges/players/93762_j-diaz.jpg,J. Díaz,17,Indisponible,Midfielders,24,0,0,0,0,No,0,0,0,0,Indisponible,0,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,0,0,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,1998-07-27
316066166,316066166,https://apiv3.apifootball.com/badges/players/51209_borja-sanchez.jpg,Borja Sánchez,23,Indisponible,Midfielders,27,0,0,0,0,No,0,1,0,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,1996-02-26
341375042,341375042,https://apiv3.apifootball.com/badges/players/119174_f-ambriz.jpg,F. Ambríz,26,Indisponible,Midfielders,20,2,0,0,0,No,0,2,0,0,4,0,13,19,2,Indisponible,3,7,2,Indisponible,Indisponible,71,33,8,5,Indisponible,Indisponible,0,0,311,270,4,Indisponible,6.90,2003-03-21
4084834209,4084834209,https://apiv3.apifootball.com/badges/players/30017_l-romero.jpg,L. Romero,29,Indisponible,Midfielders,29,2,0,0,0,No,2,0,0,0,4,0,11,23,2,3,10,10,4,Indisponible,Indisponible,74,40,7,2,Indisponible,Indisponible,0,0,411,350,2,Indisponible,6.85,1994-04-18
3301875747,3301875747,https://apiv3.apifootball.com/badges/players/155504_h-uribe.jpg,H. Uribe,195,Indisponible,Midfielders,19,0,0,0,0,No,0,3,0,0,Indisponible,0,5,4,1,5,1,Indisponible,3,Indisponible,Indisponible,22,11,2,1,Indisponible,Indisponible,0,0,42,38,4,Indisponible,6.73,2004-06-04
2292486767,2292486767,Indisponible,S. Santos,197,Indisponible,Midfielders,20,0,0,0,0,No,0,2,0,0,Indisponible,0,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,1,Indisponible,Indisponible,2,1,Indisponible,Indisponible,Indisponible,Indisponible,0,0,3,2,Indisponible,Indisponible,6.30,2003-01-21
2764852709,2764852709,https://apiv3.apifootball.com/badges/players/47015_v-davila.jpg,V. Dávila,7,Indisponible,Forwards,25,3,0,0,0,No,1,0,1,0,17,0,5,2,Indisponible,11,3,5,9,Indisponible,Indisponible,67,30,18,7,Indisponible,Indisponible,0,0,135,104,5,Indisponible,7.08,1997-11-04
1705384120,1705384120,https://apiv3.apifootball.com/badges/players/19023_e-hernandez.jpg,E. Hernández,11,Indisponible,Forwards,35,3,0,1,0,No,2,0,2,0,10,0,Indisponible,7,Indisponible,42,3,Indisponible,8,Indisponible,Indisponible,41,21,15,11,Indisponible,Indisponible,0,0,193,162,18,Indisponible,7.50,1988-04-29
2078993912,2078993912,https://apiv3.apifootball.com/badges/players/23673_a-mena.jpg,Á. Mena,13,Indisponible,Forwards,35,3,0,0,0,No,2,0,0,0,7,0,7,13,Indisponible,25,1,3,9,Indisponible,Indisponible,56,28,8,3,Indisponible,Indisponible,1,0,188,166,15,Indisponible,7.66,1988-01-21
3319436782,3319436782,https://apiv3.apifootball.com/badges/players/84418_b-rubio.jpg,B. Rubio,15,Indisponible,Forwards,26,3,1,0,1,No,0,3,0,0,16,0,12,8,1,2,2,6,7,Indisponible,Indisponible,69,35,6,3,Indisponible,Indisponible,1,0,108,83,7,Indisponible,6.87,1996-11-09
4113799863,4113799863,https://apiv3.apifootball.com/badges/players/97896_f-vinas.jpg,F. Viñas,18,Indisponible,Forwards,25,1,0,0,0,No,0,1,0,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,1998-06-30
190893079,190893079,https://apiv3.apifootball.com/badges/players/81859_j-alvarado.jpg,J. Alvarado,20,Indisponible,Forwards,23,3,1,0,0,No,3,0,0,0,7,0,6,7,Indisponible,1,1,4,6,Indisponible,Indisponible,58,28,11,6,Indisponible,Indisponible,0,0,91,72,1,Indisponible,6.58,2000-03-15
